value_h,rank_h,pts_last3_h,value_a,rank_a,pts_last3_a,result,difference,score,1_home_win,2_draw,3_away_win
0.508,0.4,9,1.0,0.667,4,3,-1,"""5-0""",,,
0.955,0.25,4,0.882,0.5,7,1,1,"""1-0""",,,
0.237,0.571,4,0.278,0.188,0,1,3,"""4-1""",,,
1.0,0.1,9,0.132,0.55,3,1,4,"""5-1""",,,
0.431,0.75,2,0.122,1.0,2,2,0,"""1-1""",,,
1.0,0.1,9,0.268,0.55,3,1,4,"""5-1""",,,
0.427,0.571,4,0.084,0.667,5,1,3,"""3-0""",,,
0.857,0.462,5,0.343,0.222,4,2,0,"""2-2""",,,
0.49,0.85,2,0.875,0.071,3,1,0,"""2-1""",,,
0.235,0.3,6,0.77,0.15,5,2,0,"""1-1""",,,
0.612,0.45,2,0.875,0.0625,9,3,-2,"""0-2""",,,
0.509,0.95,6,0.043,0.222,6,2,0,"""0-0""",,,
0.482,0.4,2,0.069,0.25,0,3,-1,"""0-1""",,,
0.162,0.227,7,1.0,0.3,9,1,-1,"""1-0""",,,
0.466,0.6,0,0.409,0.25,2,3,-2,"""0-2""",,,
0.199,0.25,4,0.788,0.15,9,2,0,"""1-1""",,,
0.356,0.4,4,0.366,0.107,7,1,1,"""1-0""",,,
0.1,0.3,4,0.093,0.722,0,1,2,"""2-0""",,,
0.427,0.056,4,0.084,0.688,5,1,3,"""3-0""",,,
0.466,0.4,3,0.348,0.2,1,3,-2,"""0-1""",,,
0.237,0.15,6,0.06,0.563,6,1,1,"""3-2""",,,
0.173,0.8,6,0.17,0.2,4,2,0,"""0-0""",,,
0.32,0.95,1,0.203,0.563,4,1,1,"""2-1""",,,
0.5,0.65,2,0.431,0.1,9,3,-4,"""2-6""",,,
0.34,0.85,7,0.474,0.85,4,2,-2,"""1-3""",,,
0.525,0.125,4,0.044,0.688,5,1,3,"""3-0""",,,
0.123,0.182,3,0.139,0.5,4,2,0,"""1-1""",,,
1.0,0.25,9,0.044,0.5,3,1,1,"""4-1""",,,
1.0,0.9,9,0.108,0.55,3,2,0,"""2-2""",,,
0.363,0.722,5,0.505,0.909,3,1,2,"""3-1""",,,
0.418,0.214,2,0.766,0.1,9,2,0,"""1-1""",,,
0.49,0.136,3,0.462,0.444,7,1,1,"""1-0""",,,
0.159,0.893,3,0.546,0.95,6,1,7,"""0-1""",,,
0.356,0.333,0,0.139,0.056,9,2,0,"""1-1""",,,
0.962,0.944,2,0.315,0.167,6,1,0,"""2-6""",,,
0.098,0.85,7,0.084,0.75,4,3,-2,"""1-2""",,,
0.508,0.462,2,1.0,0.438,1,3,-1,"""0-1""",,,
0.073,0.95,3,0.207,0.05,6,1,1,"""1-0""",,,
1.0,0.778,6,0.336,0.45,1,3,-1,"""0-1""",,,
0.857,0.05,6,0.6,0.5,6,2,0,"""1-1""",,,
0.237,0.15,7,0.155,0.722,1,1,2,"""3-1""",,,
0.159,0.15,4,0.084,0.167,6,1,7,"""2-1""",,,
0.455,1.0,6,1.0,0.6,6,3,-1,"""0-1""",,,
0.983,0.111,9,0.059,0.667,7,1,5,"""1-2""",,,
0.412,0.778,0,0.921,0.3,7,2,0,"""1-1""",,,
0.203,0.15,4,0.17,0.7,1,2,3,"""1-1""",,,
0.26,0.6,0,0.126,0.8,2,3,-2,"""0-2""",,,
0.612,0.35,5,0.815,0.455,4,3,-2,"""1-3""",,,
0.455,0.4,3,0.151,1.0,1,3,-1,"""0-1""",,,
0.123,0.778,7,0.562,0.125,7,2,0,"""1-1""",,,
0.478,0.563,6,0.19,1.0,9,1,1,"""1-0""",,,
0.199,0.15,9,0.076,0.167,6,3,0,"""1-2""",,,
0.237,0.15,5,0.612,0.591,4,1,2,"""3-0""",,,
0.204,0.25,4,0.397,0.7,1,1,3,"""3-0""",,,
0.5,0.15,7,0.282,0.45,7,1,1,"""1-0""",,,
0.336,0.778,9,0.921,0.45,7,2,0,"""2-2""",,,
0.66,0.615,7,0.546,0.5,7,1,1,"""1-0""",,,
0.381,0.063,4,0.563,0.95,6,1,1,"""1-0""",,,
0.5,0.65,2,0.207,0.25,9,3,-2,"""0-2""",,,
0.321,0.1,2,0.877,0.833,3,1,2,"""2-0""",,,
0.509,0.9,0,0.77,0.3,4,2,0,"""1-1""",,,
0.478,0.462,0,0.397,0.25,9,1,2,"""2-0""",,,
1.0,0.563,7,0.123,0.75,7,1,1,"""1-0""",,,
0.466,0.65,0,0.435,0.438,9,3,-1,"""0-1""",,,
0.265,0.4,5,0.489,0.444,6,1,0,"""3-1""",,,
0.635,0.65,4,0.77,0.5,3,1,1,"""1-0""",,,
0.34,0.35,7,0.252,1.0,7,3,-1,"""3-3""",,,
0.218,0.111,9,0.059,0.667,1,1,5,"""5-0""",,,
0.409,0.15,7,0.505,0.95,1,2,2,"""2-0""",,,
0.418,0.75,3,0.269,0.1,1,3,-1,"""0-1""",,,
1.0,0.111,9,0.059,0.667,7,1,5,"""5-0""",,,
0.789,0.167,6,0.111,0.7,6,2,0,"""0-0""",,,
0.092,0.6,7,0.487,0.55,4,3,-2,"""0-2""",,,
0.412,0.15,3,0.849,0.5,1,1,0,"""2-0""",,,
0.066,0.9,0,0.853,0.188,5,3,0,"""1-1""",,,
0.412,0.3,1,0.462,0.75,9,2,0,"""2-2""",,,
0.363,0.25,5,0.752,0.591,0,1,2,"""2-0""",,,
0.098,0.667,3,0.093,1.0,6,2,0,"""0-0""",,,
0.272,0.333,2,0.275,0.85,1,3,2,"""3-3""",,,
0.184,0.889,4,0.882,0.591,6,3,-1,"""3-3",,,
0.036,0.55,0,0.266,0.8,5,1,0,"""0-0""",,,
0.772,0.462,2,0.435,0.389,6,3,-1,"""0-1""",,,
0.502,0.75,3,0.122,0.15,4,2,0,"""1-1""",,,
0.501,0.45,7,0.033,0.188,0,1,2,"""2-0""",,,
0.235,0.227,1,0.462,0.5,6,1,2,"""2-0""",,,
0.266,0.65,2,1.0,0.1,9,3,-4,"""2-6""",,,
0.455,0.75,3,0.882,0.111,6,3,-1,"""2-0""",,,
0.185,0.462,0,0.522,0.708,2,3,-2,"""0-2""",,,
0.173,1.0,4,1.0,0.1,9,3,-1,"""0-1""",,,
0.731,0.136,2,0.77,0.9,2,1,0,"""3-3""",,,
0.626,0.125,6,0.853,0.8,1,3,-1,"""1-2""",,,
0.61,0.417,9,0.609,0.313,6,3,-3,"""0-3""",,,
0.229,0.615,3,0.281,0.7,4,2,0,"""2-2""",,,
0.208,0.85,9,0.218,0.95,3,3,-1,"""1-2""",,,
0.34,0.607,6,0.072,0.107,1,3,-2,"""1-2""",,,
0.578,0.25,7,0.97,0.4,7,1,1,"""2-1""",,,
0.499,0.35,3,0.17,0.2,4,1,-2,"""1-1""",,,
0.12,0.333,3,0.133,0.111,4,2,0,"""0-0""",,,
0.341,0.85,6,0.487,0.5,3,1,2,"""2-0""",,,
0.1,0.65,2,1.0,0.1,9,3,-4,"""2-6""",,,
0.348,0.136,2,0.462,0.071,9,1,1,"""1-0""",,,
0.459,1.0,2,0.807,1.0,1,3,-1,"""0-1""",,,
0.61,0.417,6,0.609,0.167,6,3,-3,"""0-3""",,,
0.133,0.556,2,0.882,0.778,1,3,-1,"""0-1""",,,
0.574,0.15,2,0.286,0.833,3,3,-1,"""1-1""",,,
0.226,0.5,6,0.126,0.6,2,3,-2,"""0-2""",,,
0.123,0.95,0,0.123,0.444,2,3,1,"""1-0""",,,
0.34,0.15,6,0.522,0.2,3,3,-2,"""1-2""",,,
0.235,0.889,6,0.044,0.111,1,1,3,"""0-0""",,,
0.462,0.136,2,0.807,0.1,0,3,0,"""2-0""",,,
0.518,0.393,2,0.752,0.05,9,1,2,"""1-0""",,,
0.301,0.75,7,0.77,0.357,3,3,0,"""1-2""",,,
0.482,0.4,3,0.466,0.5,7,1,1,"""1-0""",,,
0.466,0.65,7,0.08,0.25,4,1,1,"""3-2""",,,
0.159,0.5,6,0.418,0.45,7,3,-2,"""0-1""",,,
0.06,0.167,1,0.271,0.722,4,1,1,"""2-1""",,,
0.32,0.35,7,0.033,0.85,3,1,2,"""2-0""",,,
0.635,0.25,4,0.048,0.679,4,1,3,"""4-2""",,,
0.381,0.25,1,0.462,0.5,7,1,1,"""1-0""",,,
0.525,0.278,4,0.295,0.688,5,1,3,"""3-0""",,,
0.158,0.222,3,0.114,0.444,6,1,1,"""2-1""",,,
0.321,0.55,4,0.295,0.7,3,1,3,"""3-0""",,,
0.065,0.9,0,0.043,0.3,5,2,0,"""1-1""",,,
0.218,0.056,4,0.22,0.636,0,1,3,"""3-0""",,,
0.336,0.9,2,0.249,0.3,7,2,0,"""2-2""",,,
0.772,0.607,3,0.908,0.231,0,3,-1,"""0-1""",,,
0.042,0.25,0,0.033,0.0625,3,1,2,"""3-1""",,,
0.508,0.278,9,0.266,0.7,3,1,2,"""3-1""",,,
1.0,0.278,9,0.268,0.55,3,1,4,"""5-1""",,,
0.789,0.75,2,0.064,0.15,9,2,0,"""1-1""",,,
1.0,0.15,6,0.151,0.188,6,1,3,"""4-2""",,,
0.162,0.4,4,0.07,0.5,6,1,1,"""3-1""",,,
1.0,0.35,6,0.406,0.438,4,1,0,"""0-0""",,,
0.184,0.85,2,0.279,0.65,4,2,0,"""1-1""",,,
0.066,0.5,6,0.043,0.2,3,2,0,"""0-0""",,,
0.273,0.95,2,0.252,0.25,2,3,-2,"""0-2""",,,
0.597,0.9,4,0.563,0.188,7,1,1,"""2-1""",,,
0.578,0.167,4,0.235,0.292,7,1,1,"""2-1""",,,
0.211,0.35,7,0.139,0.2,4,2,0,"""0-0""",,,
0.61,0.417,9,0.609,0.313,1,3,-3,"""0-3""",,,
0.983,0.111,9,0.059,0.667,7,1,5,"""1-2""",,,
0.123,0.636,5,0.409,0.65,2,3,-2,"""0-2""",,,
0.612,0.35,5,0.344,0.2,4,3,-2,"""1-3""",,,
0.114,0.667,4,0.15,0.688,1,1,3,"""3-0""",,,
1.0,0.3,5,0.406,0.722,6,1,0,"""3-1""",,,
0.226,0.15,2,0.387,0.125,6,2,0,"""1-1""",,,
0.402,0.35,7,0.295,0.464,7,1,1,"""1-0""",,,
0.508,0.607,4,0.908,0.231,1,3,-1,"""0-1""",,,
0.038,0.3,2,0.612,0.7,4,1,2,"""2-0""",,,
0.26,0.6,4,0.431,0.083,6,3,-2,"""2-3""",,,
0.66,0.25,2,0.546,0.071,7,1,1,"""1-0""",,,
1.0,0.222,4,0.412,0.5,6,1,1,"""2-1""",,,
0.06,0.85,3,0.093,1.0,4,1,-2,"""2-0""",,,
0.066,0.611,6,0.541,0.4,0,1,1,"""2-1""",,,
0.58,0.563,2,0.882,0.95,1,3,-1,"""0-1""",,,
0.983,0.111,9,0.059,0.667,7,1,5,"""5-0""",,,
0.961,0.8,5,0.343,0.75,3,3,0,"""1-1""",,,
0.092,0.5,7,0.271,0.9,1,2,0,"""1-1""",,,
0.123,0.6,0,0.254,0.1,2,3,-2,"""1-4""",,,
1.0,0.1,9,0.132,0.55,3,1,4,"""5-1""",,,
0.156,0.071,4,0.097,0.85,4,1,1,"""3-2""",,,
0.362,0.222,4,0.219,0.444,1,1,1,"""2-1""",,,
0.199,0.9,2,0.77,0.15,3,2,0,"""1-1""",,,
0.084,0.889,4,0.431,0.4,6,3,-3,"""2-3""",,,
0.643,0.9,0,1.0,0.083,7,2,0,"""2-2""",,,
0.363,0.722,3,0.505,0.333,3,1,2,"""2-0""",,,
0.159,0.6,0,0.409,0.778,2,3,-2,"""1-3""",,,
0.485,0.9,6,0.675,0.3,6,2,0,"""0-0""",,,
0.473,0.417,0,1.0,0.5,2,2,0,"""1-1""",,,
1.0,0.556,4,0.462,0.5,7,1,1,"""1-0""",,,
0.345,0.8,4,0.282,0.5,7,1,1,"""1-0""",,,
0.499,0.85,5,0.043,0.4,3,1,1,"""1-0""",,,
0.291,0.667,2,0.431,0.292,9,3,-4,"""2-6""",,,
0.301,0.375,0,0.225,0.278,9,3,0,"""1-1""",,,
0.223,0.75,2,1.0,0.5,9,2,0,"""1-1""",,,
0.612,0.636,5,0.815,0.455,2,3,-2,"""1-3""",,,
0.381,0.182,7,0.043,0.75,7,2,0,"""1-1""",,,
0.42,0.9,3,0.77,0.833,3,2,0,"""1-1""",,,
0.155,0.375,2,0.133,0.3,3,2,0,"""1-1""",,,
0.543,0.188,4,0.205,0.833,5,2,0,"""1-1""",,,
0.32,0.7,3,0.203,0.444,4,1,1,"""2-1""",,,
0.678,0.056,4,0.048,0.95,5,1,3,"""3-0""",,,
0.065,0.444,2,0.271,0.75,9,2,0,"""1-1""",,,
0.197,0.3,4,0.131,0.5,6,1,2,"""4-2""",,,
0.184,0.417,6,1.0,0.167,6,3,-3,"""0-3""",,,
0.123,0.6,7,0.108,0.55,2,3,-2,"""0-2""",,,
0.052,0.667,6,0.398,0.9,1,2,3,"""1-1""",,,
0.508,0.722,1,0.77,0.071,6,2,0,"""1-1""",,,
0.58,0.6,2,1.0,0.2,9,3,-1,"""0-1""",,,
0.578,0.15,6,0.236,0.1,6,3,1,"""2-1""",,,
0.527,0.35,6,0.474,0.5,0,2,0,"""0-0""",,,
0.208,0.45,6,0.163,1.0,6,3,-1,"""0-1""",,,
0.66,0.222,3,0.519,1.0,6,1,1,"""2-1""",,,
0.346,0.4,3,0.151,1.0,0,3,-1,"""0-1""",,,
0.249,0.2,7,0.223,0.85,7,1,1,"""1-0""",,,
0.34,0.278,9,0.562,0.875,3,3,3,"""0-2""",,,
0.266,0.667,2,0.431,0.292,6,3,-4,"""2-6""",,,
0.109,0.75,0,0.151,0.3,7,3,-1,"""3-2""",,,
0.084,0.5,7,0.573,0.85,7,3,-1,"""1-2""",,,
0.518,0.227,1,0.219,0.5,7,1,1,"""2-1""",,,
0.32,0.179,3,0.203,0.85,7,1,1,"""2-1""",,,
0.042,0.417,6,0.609,0.167,6,3,-3,"""0-3""",,,
0.133,0.85,6,0.051,1.0,6,1,-4,"""2-1""",,,
0.26,0.15,6,1.0,0.4,0,3,-1,"""0-1""",,,
0.983,0.111,9,0.059,0.667,7,1,5,"""5-0""",,,
0.381,0.25,4,0.573,0.667,4,1,0,"""1-1""",,,
0.44,0.077,4,0.19,0.75,6,3,0,"""1-1""",,,
0.661,0.25,4,0.092,0.75,6,1,2,"""1-1""",,,
0.142,0.333,3,0.236,0.75,4,2,0,"""1-1""",,,
0.266,0.667,2,0.431,0.75,6,3,-4,"""2-6""",,,
0.055,0.6,0,0.786,0.0625,3,3,0,"""0-4""",,,
0.086,0.722,1,0.462,0.25,9,1,2,"""1-0""",,,
0.155,0.615,4,0.563,0.8,7,1,1,"""1-0""",,,
0.362,0.444,1,0.203,0.444,4,1,1,"""2-1""",,,
0.203,0.85,7,0.462,0.667,4,1,1,"""0-0""",,,
0.184,0.55,6,0.044,0.9,1,2,0,"""0-0""",,,
0.459,0.15,6,0.051,0.4,6,1,7,"""1-1""",,,
0.273,0.5,3,0.348,0.5,2,1,2,"""0-0""",,,
0.807,0.462,4,0.048,0.95,6,1,7,"""4-2""",,,
0.356,0.214,2,0.788,0.2,2,2,-2,"""0-2""",,,
0.609,0.393,4,0.043,0.688,1,1,3,"""3-0""",,,
0.092,0.944,4,0.155,0.45,7,3,-1,"""1-2""",,,
0.499,0.222,3,0.223,0.667,7,1,1,"""3-2""",,,
0.318,0.05,7,0.084,0.667,7,1,3,"""3-2""",,,
0.499,0.571,4,0.044,1.0,1,1,3,"""3-0""",,,
0.518,0.417,9,0.175,0.1,6,1,2,"""0-4""",,,
0.466,0.563,2,0.213,0.4,4,2,0,"""1-3""",,,
0.427,0.125,4,0.219,0.833,1,1,3,"""3-0""",,,
0.086,1.0,2,0.315,0.3,3,2,1,"""1-1""",,,
0.226,0.65,2,1.0,0.3,9,3,-1,"""3-3",,,
0.32,0.167,7,0.219,0.444,7,1,1,"""2-1""",,,
0.518,0.8,7,0.402,0.25,2,1,1,"""2-1""",,,
0.208,0.667,2,0.546,0.222,0,1,1,"""1-0""",,,
0.045,0.4,2,1.0,0.1,9,3,-1,"""0-1""",,,
0.042,0.8,6,0.466,0.222,5,2,0,"""0-1""",,,
0.431,0.75,4,0.066,0.75,9,2,0,"""1-1""",,,
0.343,0.5,3,0.77,0.222,2,2,0,"""0-0""",,,
0.962,0.333,3,0.397,1.0,1,1,2,"""2-3""",,,
0.1,0.167,1,0.391,0.722,6,1,1,"""2-1""",,,
0.092,0.6,4,0.051,0.1,3,3,-2,"""0-2""",,,
0.418,0.85,4,0.488,0.15,7,1,1,"""4-1""",,,
1.0,0.1,9,0.132,0.55,3,1,4,"""5-1""",,,
0.597,0.4,7,0.123,0.5,6,1,1,"""2-1""",,,
1.0,0.65,7,0.225,0.45,7,1,3,"""1-0""",,,
0.509,0.5,3,0.205,1.0,3,2,0,"""0-0""",,,
0.109,0.417,0,1.0,0.3,9,2,0,"""1-1""",,,
1.0,0.05,2,0.122,1.0,3,2,0,"""4-0""",,,
0.197,0.333,3,0.093,0.944,0,1,2,"""2-0""",,,
0.237,0.125,3,0.546,0.071,6,1,2,"""2-3""",,,
0.12,0.188,2,0.202,0.278,7,3,0,"""1-1""",,,
0.052,0.9,2,0.535,0.3,1,2,0,"""0-0""",,,
0.961,0.05,9,0.1,0.45,7,1,5,"""6-1""",,,
0.678,0.278,4,0.22,0.7,5,1,3,"""4-1""",,,
0.482,0.889,6,0.418,0.438,1,3,-1,"""0-1""",,,
0.32,0.222,3,0.042,0.5,7,1,1,"""2-1""",,,
0.318,0.15,1,0.462,0.6,3,1,2,"""3-1""",,,
0.092,0.4,4,0.069,0.438,1,3,-1,"""0-1""",,,
0.381,0.25,5,0.435,0.5,6,1,1,"""2-1""",,,
0.343,0.563,4,0.093,0.222,0,2,0,"""3-2""",,,
0.158,0.3,0,0.501,0.5,3,1,1,"""2-1""",,,
0.466,0.5,6,0.252,0.8,2,3,-2,"""0-2""",,,
0.258,0.95,7,0.563,0.5,7,1,1,"""3-2""",,,
0.807,0.444,6,0.402,0.4,3,1,2,"""2-1""",,,
0.226,0.5,2,0.252,0.778,2,3,-2,"""0-2""",,,
0.223,0.182,5,0.213,0.2,9,2,0,"""2-2""",,,
0.162,0.167,6,0.248,0.444,7,1,1,"""2-1""",,,
0.038,0.9,7,0.286,0.5,3,1,1,"""1-0""",,,
0.12,1.0,3,0.544,0.4,0,3,-1,"""0-1""",,,
0.465,0.389,0,0.849,0.167,4,2,0,"""1-1""",,,
0.409,0.9,6,0.281,0.4,9,2,0,"""1-1""",,,
0.635,0.15,4,0.043,0.708,7,1,3,"""1-2""",,,
0.06,0.462,1,0.573,0.833,4,2,2,"""1-1""",,,
0.184,0.077,0,0.06,0.8,2,1,-2,"""0-2""",,,
0.266,0.667,2,0.431,0.1,6,1,-4,"""2-6""",,,
0.208,0.05,4,0.108,0.667,5,2,0,"""1-1""",,,
0.162,0.179,2,0.489,0.5,6,1,1,"""3-3""",,,
0.466,0.65,2,0.882,0.1,7,3,-1,"""1-2""",,,
0.643,0.9,3,0.064,0.3,9,2,0,"""0-0""",,,
0.857,0.136,2,0.489,0.556,5,1,2,"""1-0""",,,
0.203,0.893,2,0.165,0.6,1,2,0,"""3-0""",,,
0.066,0.625,4,0.126,0.1,9,3,-1,"""0-1""",,,
0.159,0.25,4,0.066,0.05,3,2,0,"""1-1""",,,
0.643,0.25,4,0.22,0.833,1,1,3,"""3-0""",,,
0.045,0.4,6,0.435,0.292,6,3,-1,"""0-1""",,,
0.098,0.85,1,0.474,0.0625,4,2,0,"""2-2""",,,
0.08,0.5,2,0.849,0.95,3,2,0,"""0-0""",,,
0.197,0.6,7,0.048,0.65,4,1,2,"""2-0""",,,
0.635,0.35,5,0.344,0.455,3,3,-2,"""1-3""",,,
0.465,0.8,6,0.522,0.7,6,2,0,"""1-1""",,,
0.184,1.0,2,1.0,0.1,9,3,-1,"""0-1""",,,
0.11,0.5,3,0.397,1.0,1,3,-1,"""1-1""",,,
0.574,0.056,4,0.219,0.429,3,1,3,"""3-0""",,,
0.34,0.85,5,0.17,0.45,3,2,0,"""0-0""",,,
0.092,0.85,1,0.072,0.2,2,2,0,"""2-0""",,,
0.273,0.85,3,0.487,0.667,4,1,-2,"""2-0""",,,
0.466,0.833,0,0.385,0.5,9,1,2,"""3-1""",,,
0.265,0.6,0,1.0,0.8,2,3,-2,"""0-2""",,,
0.226,0.95,1,0.402,0.8,2,3,-2,"""0-2""",,,
0.117,0.9,0,0.795,0.083,9,3,-1,"""0-1""",,,
0.204,0.125,4,0.219,0.7,5,1,3,"""3-0""",,,
0.961,0.4,7,0.042,0.5,6,1,1,"""0-1""",,,
0.109,0.75,2,1.0,0.278,9,3,1,"""1-0""",,,
0.086,0.15,2,0.558,0.3,1,2,0,"""1-1""",,,
1.0,0.1,9,0.219,0.55,3,1,0,"""4-1""",,,
0.5,0.9,5,0.114,0.15,7,2,0,"""2-2""",,,
0.266,0.65,2,1.0,0.1,9,1,-4,"""2-6""",,,
0.343,0.1,1,0.043,0.8,3,1,0,"""1-1""",,,
0.61,0.125,9,0.786,0.313,6,3,-3,"""0-3""",,,
0.499,0.563,4,0.22,0.111,6,1,3,"""4-1""",,,
0.109,1.0,2,1.0,0.75,9,3,0,"""0-2""",,,
0.418,0.65,2,0.175,0.111,9,1,1,"""0-0""",,,
0.416,0.05,2,0.093,0.45,7,2,0,"""2-2""",,,
0.203,0.15,9,0.064,0.3,6,2,0,"""1-1""",,,
0.321,0.15,9,0.208,0.5,6,2,0,"""4-2""",,,
0.731,0.773,2,0.072,0.7,7,2,0,"""1-1""",,,
0.44,0.889,6,1.0,0.111,6,3,-1,"""2-3""",,,
0.045,0.611,4,0.269,0.4,6,3,-1,"""2-3""",,,
0.301,0.3,2,0.165,0.188,9,1,2,"""2-0""",,,
0.462,0.4,4,0.254,0.95,9,1,1,"""3-2""",,,
0.159,0.15,6,0.084,0.6,6,1,3,"""4-2""",,,
0.374,0.393,0,1.0,0.6,9,1,1,"""1-1""",,,
1.0,0.077,1,0.092,0.5,6,1,1,"""3-2""",,,
0.258,0.4,1,0.282,0.111,6,1,1,"""4-1""",,,
0.61,0.417,9,1.0,0.313,6,3,-3,"""0-3""",,,
0.346,0.9,2,0.409,0.5,2,2,0,"""1-1""",,,
0.237,0.611,6,0.387,0.45,4,2,3,"""1-2""",,,
0.466,0.15,7,0.208,0.95,0,1,2,"""2-0""",,,
0.052,0.8,4,0.165,0.05,1,2,1,"""1-1""",,,
0.211,0.85,3,0.366,0.278,7,2,0,"""2-2""",,,
1.0,0.1,9,0.132,0.55,3,1,4,"""5-1""",,,
1.0,0.313,5,0.108,0.4,3,1,2,"""3-1""",,,
0.61,0.417,9,0.609,0.313,6,3,-3,"""0-3""",,,
0.073,0.444,3,0.042,0.5,0,1,1,"""2-1""",,,
0.123,0.95,4,0.522,0.4,4,3,-2,"""0-2""",,,
0.348,0.429,0,0.269,0.95,0,3,-1,"""0-1""",,,
0.49,0.2,7,0.391,0.85,7,1,1,"""2-1""",,,
0.055,0.75,4,0.151,0.3,5,3,-1,"""1-3""",,,
0.042,0.417,6,1.0,0.167,6,3,-3,"""0-3""",,,
0.111,0.778,0,0.111,0.3,3,2,0,"""1-1""",,,
0.55,0.278,0,0.409,0.95,7,1,2,"""3-1""",,,
0.626,0.889,2,0.219,0.444,1,3,-1,"""0-1""",,,
0.499,0.7,4,0.219,0.688,1,1,2,"""3-3""",,,
0.203,0.4,6,0.108,0.45,7,3,1,"""0-2""",,,
0.381,0.25,4,0.104,0.45,3,1,2,"""3-1""",,,
0.343,0.6,0,1.0,0.75,9,3,1,"""3-2""",,,
0.229,0.25,0,0.218,0.083,9,2,0,"""2-2""",,,
0.409,0.85,4,0.535,0.4,2,2,0,"""0-4""",,,
0.173,0.95,4,0.203,0.4,4,1,1,"""2-1""",,,
0.098,0.85,3,0.97,0.667,4,2,0,"""1-1""",,,
0.226,0.25,3,0.207,0.444,6,1,1,"""2-1""",,,
0.162,0.136,1,0.043,0.65,4,3,-2,"""1-0""",,,
0.61,0.15,6,0.786,0.5,6,1,2,"""4-2""",,,
0.409,0.95,6,0.111,0.85,7,1,2,"""2-1""",,,
0.11,1.0,4,0.07,0.364,3,3,-1,"""0-1""",,,
0.249,0.3,4,0.235,0.05,7,1,1,"""1-0""",,,
0.597,0.9,2,0.489,0.4,4,1,1,"""2-1""",,,
1.0,0.15,7,0.165,0.9,0,1,1,"""0-2""",,,
0.508,0.393,7,0.462,0.5,4,1,1,"""3-2""",,,
0.237,0.25,7,0.084,0.95,3,1,3,"""1-3""",,,
0.162,0.8,4,0.203,0.107,4,3,-1,"""1-1""",,,
0.278,0.889,3,0.908,0.65,1,3,-1,"""0-1""",,,
1.0,0.25,7,0.882,0.85,7,3,-1,"""1-2""",,,
0.32,0.222,2,0.203,0.636,3,1,1,"""3-2""",,,
0.343,0.3,0,0.122,0.7,4,2,0,"""1-1""",,,
0.301,0.25,4,0.11,0.071,6,1,2,"""4-2""",,,
0.065,0.75,0,0.202,0.1,9,2,0,"""1-1""",,,
0.764,0.15,9,0.051,0.5,7,1,1,"""3-0""",,,
0.466,0.85,6,0.123,0.111,2,1,2,"""2-0""",,,
0.138,0.611,4,0.252,0.5,9,2,0,"""1-1""",,,
0.459,0.5,7,0.097,0.667,7,1,-1,"""1-2""",,,
0.158,0.4,3,0.271,0.05,4,1,1,"""1-0""",,,
0.867,0.222,6,0.271,0.464,6,1,1,"""2-1""",,,
0.237,0.1,5,0.28,0.455,3,2,-2,"""1-3""",,,
0.06,0.563,3,0.093,0.944,0,1,2,"""2-0""",,,
0.478,0.15,6,0.051,1.0,6,1,-1,"""0-1""",,,
0.098,0.15,7,0.084,0.25,7,1,2,"""2-0""",,,
0.035,0.6,4,0.875,0.8,2,3,-2,"""0-2""",,,
0.13,0.6,9,0.875,0.8,2,2,-2,"""0-2""",,,
0.465,0.25,2,0.269,0.15,9,3,-1,"""0-1""",,,
0.073,0.85,6,0.343,0.8,4,1,-1,"""7-0""",,,
0.555,0.45,3,0.214,0.95,6,1,2,"""2-0""",,,
1.0,0.1,9,0.268,0.55,3,1,4,"""5-1""",,,
0.158,0.607,1,0.501,0.4,4,1,1,"""2-1""",,,
0.211,0.25,4,0.962,0.05,7,1,0,"""2-2""",,,
0.325,0.9,0,0.703,0.6,6,2,0,"""1-1""",,,
0.381,0.15,9,0.126,0.313,6,1,4,"""4-0""",,,
0.26,0.056,4,0.219,0.65,3,1,1,"""3-0""",,,
0.092,0.9,5,0.072,0.778,2,2,0,"""1-1""",,,
0.465,1.0,4,0.366,0.722,1,2,0,"""1-1""",,,
0.359,0.25,4,0.06,0.833,5,1,3,"""3-0""",,,
0.117,0.15,4,0.786,0.438,6,3,-2,"""1-3""",,,
0.226,0.65,1,0.219,0.679,3,1,2,"""2-0""",,,
0.44,1.0,6,0.336,0.364,0,3,-1,"""0-1""",,,
0.359,0.45,6,0.348,0.95,1,3,-1,"""0-1""",,,
0.066,0.438,4,0.786,1.0,5,1,3,"""3-0""",,,
0.418,0.708,4,0.066,0.75,9,2,0,"""1-1""",,,
0.272,0.6,7,0.126,0.389,7,2,1,"""3-2""",,,
1.0,0.1,5,0.489,0.5,3,1,4,"""4-1""",,,
0.226,0.95,5,0.409,0.8,2,3,-2,"""0-2""",,,
0.807,0.833,5,0.043,0.188,6,1,2,"""3-1""",,,
0.052,1.0,0,0.343,0.222,1,2,0,"""1-1""",,,
0.34,0.2,5,0.042,0.8,2,1,1,"""2-1""",,,
0.584,0.393,4,0.703,0.833,3,1,1,"""3-2""",,,
0.191,0.889,7,0.155,0.364,7,3,-1,"""1-2""",,,
0.1,0.833,5,0.505,0.429,3,1,2,"""3-1""",,,
0.226,1.0,0,0.271,0.15,2,1,1,"""1-1""",,,
