value_h,rank_h,pts_last3_h,value_a,rank_a,pts_last3_a,result,difference,score,1_home_win,2_draw,3_away_win
0.08,0.778,4,0.139,0.65,4,1,2,"""2-0""",,,
0.203,0.389,6,0.133,0.222,1,2,0,"""0-0""",,,
0.32,0.889,6,0.172,0.556,6,1,1,"""2-1""",,,
0.32,0.167,1,0.235,0.167,6,1,1,"""2-1""",,,
0.499,0.438,4,0.048,0.875,5,1,3,"""3-0""",,,
0.578,0.75,4,0.882,0.55,0,3,0,"""1-2""",,,
0.857,0.773,4,0.133,0.2,4,2,0,"""1-1""",,,
0.635,0.6,4,0.562,0.1,9,3,-2,"""0-2""",,,
0.5,0.333,7,0.766,0.6,0,1,3,"""0-0""",,,
0.409,0.65,2,0.402,0.4,9,3,-2,"""0-1""",,,
0.983,0.111,9,0.059,0.667,7,1,5,"""5-0""",,,
0.156,0.2,3,0.462,0.071,4,1,1,"""1-0""",,,
0.34,0.5,4,0.093,0.5,3,1,3,"""4-1""",,,
1.0,0.25,4,0.269,0.95,3,1,3,"""2-3""",,,
0.138,0.667,4,0.398,0.7,3,2,0,"""3-0""",,,
0.073,0.188,6,0.281,1.0,4,2,0,"""0-0""",,,
0.409,0.214,2,0.093,0.7,4,2,0,"""1-1""",,,
0.291,0.25,4,0.084,0.1,6,3,-1,"""0-1""",,,
0.578,0.25,0,0.882,0.1,9,3,-1,"""1-0""",,,
0.114,0.15,6,0.788,0.4,3,2,0,"""1-1""",,,
0.743,0.636,6,0.815,0.2,4,3,-2,"""1-3""",,,
0.156,0.278,1,0.271,0.75,4,1,0,"""2-0""",,,
0.5,0.25,4,0.205,0.6,5,2,0,"""2-2""",,,
0.5,0.893,4,0.133,0.5,4,2,0,"""1-1""",,,
0.229,0.1,6,0.281,0.45,4,2,0,"""0-0""",,,
0.466,0.15,6,0.766,0.6,6,2,0,"""0-0""",,,
0.229,0.4,4,0.68,0.75,2,2,0,"""1-1""",,,
0.487,0.5,5,0.344,0.833,4,2,0,"""0-0""",,,
0.961,0.05,9,0.1,0.45,7,1,5,"""6-1""",,,
0.807,0.15,6,0.807,0.4,6,1,2,"""4-2""",,,
0.117,0.95,0,0.487,0.438,6,2,0,"""2-3""",,,
0.042,0.944,9,0.786,0.167,6,3,-3,"""0-3""",,,
0.58,0.85,0,1.0,0.5,1,3,-1,"""0-1""",,,
0.5,0.65,2,1.0,0.1,9,2,-4,"""0-4""",,,
0.5,0.667,7,0.133,0.833,1,2,0,"""1-1""",,,
0.084,0.15,6,0.266,0.6,4,2,0,"""3-3""",,,
0.466,0.15,6,0.849,0.455,1,3,-1,"""0-0""",,,
0.518,0.25,4,0.962,0.15,3,1,1,"""1-0""",,,
0.499,0.6,7,0.044,1.0,1,1,3,"""3-0""",,,
0.084,0.625,3,0.875,0.75,6,1,7,"""0-1""",,,
0.1,0.833,0,0.397,0.85,6,1,2,"""2-0""",,,
0.739,0.417,2,0.68,0.1,6,3,-2,"""0-2""",,,
0.203,0.3,2,0.076,0.75,3,2,0,"""1-1""",,,
0.518,0.167,3,0.206,0.417,7,1,1,"""3-2""",,,
0.226,0.95,7,0.1,0.45,7,1,1,"""3-2""",,,
0.49,0.179,3,0.563,0.071,7,1,1,"""2-1""",,,
0.343,0.5,4,0.165,0.409,5,1,3,"""3-0""",,,
0.066,0.4,4,0.108,0.5,3,3,-2,"""0-2""",,,
0.499,1.0,3,0.703,0.75,4,2,0,"""0-0""",,,
0.055,0.45,7,0.206,0.85,6,3,1,"""1-2""",,,
0.045,0.6,6,0.132,1.0,1,3,-1,"""1-2""",,,
0.485,0.909,6,0.111,0.6,1,2,0,"""1-1""",,,
0.042,0.15,9,0.786,0.167,6,3,-3,"""0-3""",,,
0.292,0.182,9,0.278,0.95,6,3,-1,"""0-3""",,,
0.482,0.556,4,0.132,0.85,9,3,1,"""3-1""",,,
0.092,0.6,4,0.558,0.95,3,3,-2,"""0-2""",,,
0.304,0.667,3,0.044,1.0,1,1,3,"""4-1""",,,
0.13,0.6,4,0.387,0.222,3,3,-2,"""0-2""",,,
0.427,0.571,4,0.126,0.833,1,1,3,"""3-0""",,,
0.499,0.056,5,0.882,0.6,3,1,1,"""1-0""",,,
0.055,0.125,0,0.08,0.2,6,1,1,"""1-0""",,,
0.108,0.9,1,0.489,0.722,3,1,1,"""1-0""",,,
0.321,0.5,2,0.566,0.7,7,1,1,"""1-0""",,,
0.184,0.773,0,1.0,0.167,9,3,-3,"""0-1""",,,
0.08,0.182,5,0.466,0.833,3,2,0,"""4-3""",,,
0.366,0.45,5,0.412,0.15,3,1,2,"""3-1""",,,
1.0,0.333,6,0.544,1.0,1,3,-1,"""0-1""",,,
1.0,0.615,7,0.28,0.6,1,3,0,"""0-1""",,,
0.409,0.389,6,0.398,0.45,5,2,3,"""3-0""",,,
0.237,0.6,4,0.097,0.667,5,3,-1,"""1-2""",,,
0.229,0.35,5,0.549,0.2,4,3,-2,"""0-0""",,,
0.155,0.4,5,0.489,0.722,3,1,2,"""3-1""",,,
0.155,0.5,2,1.0,0.65,9,2,0,"""2-2""",,,
0.597,0.833,2,1.0,0.0625,9,1,1,"""1-0""",,,
0.962,0.6,5,0.435,0.455,3,3,0,"""1-3""",,,
1.0,0.75,3,0.435,0.6,1,3,-1,"""0-1""",,,
0.237,0.15,6,0.807,0.4,6,1,2,"""4-2""",,,
0.197,0.333,3,0.093,0.5,0,1,2,"""2-0""",,,
0.226,0.75,3,0.219,0.154,6,1,1,"""1-0""",,,
0.612,0.375,6,0.269,0.3,1,3,-1,"""1-2""",,,
0.066,0.063,6,0.344,0.278,2,3,-2,"""5-0""",,,
0.366,0.1,6,0.048,0.5,6,1,3,"""3-1""",,,
0.961,0.05,9,0.059,0.45,7,1,5,"""6-1""",,,
0.465,0.9,7,0.6,0.65,9,1,1,"""7-0""",,,
0.444,0.8,3,0.151,0.5,7,3,-1,"""0-1""",,,
0.243,0.556,4,0.882,0.6,0,3,-1,"""7-0""",,,
0.08,0.3,2,0.044,0.107,4,2,0,"""0-0""",,,
0.156,0.45,6,0.535,0.429,6,1,1,"""2-1""",,,
0.111,0.85,6,0.6,0.5,6,3,-1,"""1-2""",,,
0.574,0.167,1,0.123,0.5,9,1,1,"""1-0""",,,
1.0,0.15,6,0.132,0.55,3,1,4,"""5-1""",,,
0.348,0.9,1,0.093,0.75,4,2,0,"""1-0""",,,
0.292,0.65,7,1.0,0.1,9,3,-2,"""0-2""",,,
0.612,0.625,0,0.114,0.3,1,3,1,"""1-0""",,,
0.341,0.778,2,1.0,0.1,9,2,0,"""1-1""",,,
0.098,0.5,6,0.043,0.833,1,2,0,"""0-0""",,,
0.237,0.15,2,0.385,0.95,4,1,3,"""3-0""",,,
0.555,0.722,2,0.165,0.429,3,1,2,"""2-0""",,,
0.418,0.05,5,0.165,1.0,4,1,1,"""4-1""",,,
0.098,0.1,3,0.387,0.7,1,2,0,"""0-0""",,,
0.092,0.9,6,0.849,0.2,4,3,-2,"""0-2""",,,
0.366,0.45,7,0.397,0.3,4,1,2,"""2-0""",,,
0.739,0.4,1,0.235,0.083,4,1,2,"""3-1""",,,
0.066,0.4,6,0.402,0.667,3,3,-1,"""0-1""",,,
0.099,0.667,6,0.042,0.35,4,2,0,"""0-0""",,,
0.739,0.778,2,0.093,0.778,4,2,0,"""0-0""",,,
0.501,0.45,1,0.19,0.438,3,1,2,"""2-0""",,,
0.042,0.944,0,1.0,0.167,6,3,-3,"""0-3""",,,
0.574,0.9,1,0.385,0.45,4,1,1,"""3-2""",,,
0.34,0.333,2,0.104,0.944,0,1,2,"""2-0""",,,
0.204,0.05,7,0.795,0.5,3,3,-2,"""1-2""",,,
0.045,0.4,4,0.094,0.1,4,3,-1,"""0-1""",,,
0.06,0.389,2,0.165,0.667,3,2,0,"""2-2""",,,
0.518,0.615,4,0.211,0.5,2,1,1,"""1-0""",,,
0.133,0.9,5,0.19,0.8,4,1,1,"""1-0""",,,
0.173,0.85,4,0.703,0.7,0,2,0,"""2-2""",,,
0.278,0.077,5,0.752,0.15,3,1,2,"""4-0""",,,
0.199,0.15,1,0.788,0.167,1,2,0,"""0-0""",,,
0.962,0.667,7,0.123,0.45,4,2,0,"""0-0""",,,
0.123,0.375,6,0.163,1.0,6,3,-1,"""1-2""",,,
0.203,0.9,1,0.97,0.722,6,2,0,"""3-1""",,,
0.278,0.9,3,0.042,0.7,4,2,-2,"""1-3""",,,
0.203,0.05,3,0.269,0.45,7,3,-1,"""1-2""",,,
0.092,0.375,2,0.344,0.2,7,3,-2,"""0-2""",,,
1.0,0.556,6,0.205,0.2,4,2,0,"""0-0""",,,
0.229,0.333,3,0.236,0.45,4,2,0,"""0-0""",,,
0.26,0.556,5,0.344,0.5,3,3,-2,"""4-3""",,,
0.123,0.75,2,0.97,0.2,1,3,-1,"""0-1""",,,
0.292,0.05,0,0.535,0.5,4,1,1,"""3-3""",,,
0.066,0.8,3,0.489,1.0,6,3,1,"""1-0""",,,
0.482,0.75,4,0.097,0.667,5,3,-1,"""1-2""",,,
0.266,0.65,2,1.0,0.1,9,3,-4,"""0-4""",,,
0.32,0.889,1,0.203,0.444,6,1,1,"""2-1""",,,
1.0,0.9,3,0.205,0.679,4,2,0,"""0-0""",,,
0.462,0.611,4,1.0,0.083,9,2,0,"""1-1""",,,
0.278,0.571,6,0.165,0.875,1,1,3,"""3-0""",,,
0.108,0.7,3,0.488,0.071,7,1,1,"""2-1""",,,
0.066,0.05,6,0.218,0.75,1,2,0,"""1-1""",,,
0.156,0.2,4,0.962,0.071,9,1,1,"""1-0""",,,
0.099,0.35,1,0.12,0.3,7,1,1,"""1-0""",,,
0.108,0.179,3,0.488,0.071,7,1,1,"""2-1""",,,
0.5,0.1,9,0.268,0.55,3,1,4,"""5-1""",,,
0.237,0.15,4,0.084,0.95,5,1,7,"""7-0""",,,
0.321,0.438,4,0.295,1.0,3,1,3,"""3-0""",,,
0.1,0.417,1,0.505,0.042,6,3,2,"""3-1""",,,
0.266,0.65,2,1.0,0.1,9,3,-4,"""0-4""",,,
0.229,0.3,1,0.366,0.278,4,2,0,"""0-0""",,,
0.235,0.9,1,0.397,0.8,4,1,1,"""4-1""",,,
0.1,0.2,7,0.219,0.278,4,1,2,"""3-1""",,,
0.473,1.0,0,0.795,0.1,1,2,0,"""0-1""",,,
0.49,0.063,6,0.282,0.85,7,1,1,"""3-2""",,,
0.237,0.333,7,0.282,0.667,6,1,7,"""2-0""",,,
0.184,0.5,1,1.0,1.0,6,3,-2,"""0-2""",,,
0.578,0.75,0,1.0,0.8,9,1,1,"""1-0""",,,
0.518,0.75,5,0.315,0.5,4,1,1,"""1-0""",,,
0.229,0.4,0,0.573,0.6,0,3,-1,"""0-2""",,,
0.882,0.125,4,0.22,0.7,5,1,3,"""3-0""",,,
0.156,0.444,1,0.271,0.1,6,1,1,"""2-1""",,,
0.402,0.333,3,0.084,0.7,7,3,-1,"""0-1""",,,
0.5,0.95,3,0.731,0.75,6,2,0,"""0-0""",,,
0.509,1.0,3,0.139,0.75,1,2,0,"""2-2""",,,
0.807,0.4,3,0.398,0.944,0,1,2,"""7-0""",,,
0.431,0.333,4,0.474,0.2,3,2,0,"""1-1""",,,
0.237,0.15,6,0.208,0.4,6,1,2,"""4-2""",,,
1.0,0.05,9,0.278,0.071,7,1,-1,"""0-3""",,,
0.084,0.444,1,1.0,0.75,4,2,-1,"""1-1""",,,
0.58,0.893,4,0.788,0.35,4,3,-1,"""2-2""",,,
0.55,0.75,5,0.489,0.154,3,1,1,"""1-0""",,,
0.402,0.15,4,0.519,1.0,0,1,3,"""7-0""",,,
0.61,0.556,0,0.097,0.95,5,3,-1,"""0-1""",,,
0.5,0.214,2,0.218,0.15,3,2,0,"""3-3""",,,
0.44,1.0,0,0.284,1.0,1,3,0,"""3-3""",,,
0.857,0.5,4,0.208,0.15,3,2,0,"""0-2""",,,
0.235,0.3,3,0.093,0.75,1,2,0,"""0-0""",,,
0.739,0.75,7,0.094,0.5,4,3,-1,"""0-1""",,,
0.045,0.2,2,0.398,0.7,4,2,0,"""0-0""",,,
0.466,0.05,6,0.402,0.4,7,3,-1,"""1-2""",,,
0.13,0.5,2,0.343,0.25,3,3,-2,"""0-2""",,,
0.509,0.9,1,0.043,0.107,4,2,0,"""0-0""",,,
0.243,0.722,2,0.402,0.75,4,1,2,"""4-1""",,,
0.962,0.4,3,0.505,0.75,4,1,1,"""2-1""",,,
0.962,0.417,0,0.094,0.75,6,3,-1,"""1-2""",,,
0.454,0.889,6,0.123,0.556,7,1,1,"""2-1""",,,
0.44,0.25,3,0.248,1.0,0,3,-1,"""0-1""",,,
0.325,0.85,6,0.093,0.889,4,2,0,"""0-0""",,,
0.5,0.75,2,1.0,0.667,9,2,0,"""1-1""",,,
0.857,0.778,0,1.0,0.75,9,2,-1,"""2-2""",,,
0.661,0.65,0,1.0,0.1,9,1,1,"""1-0""",,,
0.402,0.65,2,1.0,0.444,2,1,1,"""2-1""",,,
0.273,0.333,3,0.489,0.438,0,3,-1,"""2-0""",,,
0.211,1.0,6,0.218,0.409,9,2,0,"""1-1""",,,
0.348,0.636,5,0.558,0.2,2,3,-2,"""0-2""",,,
0.114,0.375,2,1.0,0.5,3,2,0,"""0-0""",,,
0.578,0.563,4,0.072,0.1,9,3,-1,"""0-1""",,,
0.066,0.563,6,0.409,0.95,6,3,-1,"""0-1""",,,
0.073,0.9,1,1.0,0.111,9,2,0,"""1-1""",,,
1.0,0.3,4,0.462,0.667,3,1,0,"""5-1""",,,
0.084,0.9,1,0.385,0.5,4,1,-2,"""1-3""",,,
0.218,0.4,4,0.962,0.15,3,2,0,"""1-0""",,,
0.962,0.188,5,0.715,0.417,4,1,1,"""0-2""",,,
0.362,0.222,6,0.391,0.563,6,1,1,"""2-1""",,,
0.32,0.444,1,0.462,0.444,9,1,2,"""3-2""",,,
0.366,0.35,7,0.397,0.3,4,1,2,"""2-0""",,,
0.427,0.056,5,0.278,0.3,3,1,3,"""3-0""",,,
0.1,0.833,1,0.12,0.65,6,1,2,"""3-1""",,,
0.473,0.778,0,0.849,0.15,9,2,0,"""1-1""",,,
0.518,0.167,5,0.097,0.3,9,1,1,"""2-2""",,,
0.478,0.65,5,1.0,0.65,6,3,-2,"""3-1""",,,
0.482,0.8,4,0.336,0.438,0,3,-1,"""0-1""",,,
0.962,0.95,3,0.108,0.438,7,1,1,"""2-1""",,,
0.052,0.8,6,0.042,0.8,4,3,0,"""0-2""",,,
0.501,0.45,2,0.12,0.65,3,1,2,"""2-0""",,,
0.612,0.9,3,0.715,0.083,4,2,-1,"""1-2""",,,
0.073,0.45,1,0.68,0.45,6,1,2,"""3-1""",,,
0.211,1.0,6,0.703,0.167,9,2,0,"""1-1""",,,
1.0,0.056,9,0.048,0.55,3,1,4,"""5-1""",,,
0.961,0.05,9,0.1,0.45,7,1,5,"""6-1""",,,
0.466,1.0,6,0.279,0.9,1,2,0,"""0-0""",,,
0.487,0.625,0,1.0,0.8,2,3,0,"""1-3""",,,
1.0,0.1,9,0.132,0.55,3,1,4,"""5-1""",,,
0.49,0.179,3,0.282,0.417,7,1,1,"""2-1""",,,
0.462,0.15,3,0.19,0.438,3,1,-1,"""1-0""",,,
0.038,0.389,4,0.165,0.85,3,1,1,"""4-0""",,,
0.509,0.3,4,0.68,0.6,9,2,0,"""2-2""",,,
1.0,1.0,6,0.266,0.5,4,2,0,"""2-2""",,,
0.61,0.417,2,1.0,0.313,6,3,-3,"""0-3""",,,
0.545,0.179,3,0.203,0.85,7,1,1,"""3-2""",,,
0.065,0.85,2,0.563,1.0,4,2,0,"""0-0""",,,
0.543,0.35,5,0.093,0.722,4,2,0,"""0-0""",,,
0.229,0.625,0,0.06,0.75,1,2,0,"""1-1""",,,
0.045,0.15,4,0.202,1.0,1,2,0,"""0-0""",,,
0.455,1.0,0,0.573,0.1,1,3,-1,"""0-1""",,,
1.0,0.889,6,0.123,0.3,4,3,2,"""2-1""",,,
0.08,0.688,5,0.11,0.15,3,1,2,"""3-1""",,,
0.208,0.625,0,1.0,0.6,1,3,-1,"""0-1""",,,
1.0,0.25,0,0.08,0.6,3,2,0,"""3-3""",,,
0.1,0.9,1,0.28,0.722,2,3,1,"""0-0""",,,
0.1,0.45,5,0.254,0.65,6,1,2,"""3-1""",,,
0.739,0.625,0,0.612,0.85,4,1,2,"""1-0""",,,
0.237,0.15,6,0.807,0.4,6,1,2,"""4-2""",,,
0.578,0.667,4,0.882,0.778,0,2,1,"""1-1""",,,
0.661,0.889,6,0.203,0.556,6,1,1,"""2-1""",,,
0.343,0.2,6,0.558,0.75,6,1,1,"""3-2""",,,
0.478,0.45,5,0.19,0.65,6,1,2,"""3-1""",,,
0.237,0.15,6,0.208,0.4,6,1,2,"""4-2""",,,
0.226,0.15,5,0.398,0.708,3,1,2,"""2-0""",,,
0.362,0.222,1,0.541,0.444,6,1,1,"""2-1""",,,
0.857,0.5,4,0.715,0.15,2,2,0,"""0-2""",,,
0.431,0.85,3,0.08,0.722,1,2,0,"""0-0""",,,
0.961,0.05,9,0.059,0.45,7,1,5,"""6-1""",,,
0.068,0.625,2,1.0,0.0625,9,2,-3,"""1-4""",,,
0.278,0.417,6,0.398,0.2,1,3,0,"""1-1""",,,
0.487,0.75,0,0.462,0.15,9,1,1,"""1-1""",,,
0.099,0.3,6,0.069,0.6,1,2,0,"""0-0""",,,
0.06,0.45,7,0.271,0.5,4,1,2,"""3-1""",,,
0.114,0.563,3,0.882,0.6,0,3,-1,"""0-1""",,,
0.427,0.1,9,0.19,0.55,3,1,3,"""3-0""",,,
0.204,0.15,1,0.268,0.071,3,1,1,"""1-0""",,,
0.527,0.393,5,0.051,0.833,9,1,-2,"""1-0""",,,
0.301,0.45,2,0.612,0.438,3,1,2,"""2-0""",,,
0.229,0.5,4,0.474,0.35,4,2,0,"""2-2""",,,
0.243,0.25,4,0.344,0.667,9,2,-1,"""0-2""",,,
0.265,0.5,4,0.272,0.778,2,3,-2,"""0-2""",,,
0.229,0.95,6,0.108,0.2,4,2,0,"""0-0""",,,
0.555,0.3,2,0.225,0.7,3,1,2,"""3-1""",,,
0.108,0.45,3,0.206,0.071,7,1,1,"""2-1""",,,
0.06,0.45,3,0.19,0.333,4,1,2,"""2-0""",,,
0.739,0.35,7,0.406,0.15,4,2,0,"""0-0""",,,
0.26,0.611,4,0.343,0.1,4,3,-1,"""1-2""",,,
0.789,0.9,3,0.206,0.591,7,1,1,"""2-1""",,,
0.291,0.85,0,0.795,0.75,9,3,-2,"""0-2""",,,
0.578,0.75,4,1.0,0.1,9,1,1,"""1-0""",,,
0.961,0.05,9,0.051,0.667,7,1,5,"""6-1""",,,
0.052,0.8,6,0.462,0.107,3,2,0,"""1-1""",,,
0.983,0.05,9,0.059,0.45,7,1,5,"""6-1""",,,
0.635,0.85,5,0.072,0.25,2,3,-2,"""0-2""",,,
1.0,0.688,4,0.541,0.667,3,1,3,"""2-3""",,,
0.597,0.75,6,0.488,0.3,7,1,1,"""3-2""",,,
0.052,0.333,3,0.535,1.0,6,3,-1,"""1-1""",,,
0.243,0.6,4,0.044,1.0,5,1,3,"""3-0""",,,
0.117,0.3,4,0.06,1.0,3,1,1,"""3-2""",,,
0.961,0.05,9,0.1,0.45,7,1,5,"""7-0""",,,
0.518,0.25,9,0.409,0.85,3,3,-1,"""1-3""",,,
0.525,0.05,3,0.044,0.95,1,3,3,"""3-3",,,
0.499,0.571,4,0.044,1.0,3,1,3,"""3-0""",,,
0.49,0.167,3,0.093,0.071,7,1,1,"""3-2""",,,
0.336,0.389,4,0.398,0.409,5,2,0,"""1-1""",,,
0.229,0.333,3,0.051,0.5,7,1,1,"""3-2""",,,
1.0,0.15,6,0.093,0.35,6,2,0,"""0-0""",,,
0.237,0.65,0,0.398,0.1,9,1,-2,"""0-2""",,,
0.574,0.722,1,1.0,0.563,6,1,1,"""2-1""",,,
0.739,0.9,5,0.344,0.45,7,1,1,"""1-3""",,,
0.084,0.611,1,1.0,0.5,9,1,1,"""1-0""",,,
0.609,0.438,4,0.391,0.429,5,1,3,"""3-0""",,,
0.466,0.6,4,0.279,0.45,5,3,-1,"""1-2""",,,
0.173,0.85,4,0.97,0.75,3,2,0,"""1-1""",,,
0.743,0.571,6,0.385,0.25,6,3,2,"""3-1""",,,
0.098,0.05,7,0.487,0.45,7,3,-1,"""3-2""",,,
0.291,0.95,6,0.094,0.75,1,2,0,"""0-1""",,,
0.278,0.625,6,0.206,0.5,6,3,-1,"""1-3""",,,
0.743,0.9,5,0.875,0.455,2,3,-2,"""0-2""",,,
0.343,0.9,1,0.752,0.722,4,2,0,"""0-0""",,,
0.237,0.4,4,0.084,0.95,3,1,7,"""7-0""",,,
0.265,0.615,7,0.205,0.591,7,1,1,"""2-1""",,,
0.065,0.214,2,0.366,0.45,4,2,0,"""0-0""",,,
0.473,0.95,2,0.562,0.15,2,1,1,"""1-0""",,,
0.466,0.6,6,0.97,0.083,6,3,-1,"""0-1""",,,
0.374,0.1,5,0.043,0.889,3,2,0,"""0-0""",,,
0.045,0.3,2,0.752,0.9,3,2,0,"""2-2""",,,
0.08,0.214,3,0.043,0.409,4,2,0,"""0-0""",,,
0.229,0.1,1,0.19,0.65,0,1,2,"""2-0""",,,
0.473,0.2,6,0.281,0.889,4,2,0,"""0-0""",,,
0.366,0.45,6,0.165,1.0,3,2,0,"""4-0""",,,
0.482,0.556,4,0.097,0.667,5,3,-1,"""1-2""",,,
0.197,0.333,3,0.104,0.944,0,1,2,"""2-0""",,,
0.073,0.95,1,1.0,0.8,6,3,-2,"""2-1""",,,
0.084,0.7,6,0.462,1.0,1,2,0,"""0-0""",,,
0.218,0.15,6,0.059,0.667,6,1,3,"""4-1""",,,
0.203,0.833,1,0.366,0.107,4,2,0,"""2-0""",,,
0.237,0.15,6,0.084,0.95,3,1,3,"""4-2""",,,
0.473,0.136,2,0.093,0.75,4,2,0,"""4-1""",,,
0.49,0.179,3,0.6,0.8,7,1,1,"""2-1""",,,
0.55,0.889,4,0.248,0.95,3,3,-2,"""2-3""",,,
0.13,0.65,4,0.343,0.111,9,3,-2,"""7-0""",,,
0.545,0.05,4,0.487,0.85,7,1,1,"""3-2""",,,
0.485,0.389,6,0.08,0.889,5,2,0,"""3-3",,,
0.518,0.393,1,0.282,0.154,7,1,1,"""3-2""",,,
0.068,1.0,2,1.0,0.1,9,3,-1,"""0-2""",,,
0.1,0.2,5,0.385,0.679,4,2,0,"""1-1""",,,
0.466,0.85,7,0.558,0.45,7,1,1,"""3-2""",,,
0.55,0.5,6,0.252,0.25,9,3,-2,"""0-2""",,,
0.108,0.9,1,0.092,0.8,4,1,1,"""1-0""",,,
0.5,0.773,4,1.0,0.75,9,2,0,"""2-2""",,,
0.235,0.182,5,0.11,0.455,4,2,0,"""0-0""",,,
0.184,0.65,2,0.093,0.7,3,2,2,"""1-1""",,,
0.156,0.063,2,0.271,0.5,7,1,1,"""1-0""",,,
0.578,0.625,1,0.409,0.75,2,2,0,"""1-1""",,,
0.466,0.944,9,0.786,0.167,6,3,-3,"""0-3""",,,
0.073,0.778,6,0.139,1.0,4,2,0,"""1-1""",,,
0.382,0.85,2,0.398,0.889,3,2,0,"""0-0""",,,
0.465,0.571,0,0.133,0.5,6,2,0,"""1-1""",,,
0.073,0.9,1,1.0,0.722,4,2,0,"""3-3""",,,
0.409,0.333,4,0.489,0.438,4,2,0,"""0-0""",,,
0.366,0.45,7,0.489,0.722,4,1,2,"""2-0""",,,
0.123,0.667,3,0.435,0.6,0,3,-1,"""0-1""",,,
0.26,0.9,9,0.875,0.45,7,3,-3,"""1-3""",,,
0.478,0.833,1,0.104,0.722,4,1,2,"""3-1""",,,
0.042,0.688,4,0.165,0.667,5,3,3,"""4-1""",,,
0.409,0.688,3,0.084,0.85,3,1,2,"""2-0""",,,
0.211,0.214,3,0.122,0.75,4,2,0,"""0-0""",,,
1.0,0.278,9,0.268,0.55,3,1,4,"""5-1""",,,
0.098,0.15,3,0.163,0.45,7,3,-1,"""7-0""",,,
0.374,0.15,4,0.042,1.0,1,2,0,"""3-3",,,
0.454,0.222,6,0.208,0.444,6,1,1,"""2-1""",,,
0.218,0.1,4,0.412,0.667,2,1,1,"""1-0""",,,
0.1,0.4,1,0.042,0.111,4,2,0,"""0-0""",,,
0.237,0.15,6,0.807,0.417,6,1,3,"""3-0""",,,
0.427,0.55,7,0.048,0.167,5,1,3,"""3-0""",,,
0.61,0.611,7,1.0,0.1,9,3,-2,"""0-2""",,,
0.035,0.4,3,0.075,0.85,0,1,1,"""1-0""",,,
0.789,0.375,6,0.402,0.167,6,3,-1,"""1-2""",,,
0.983,0.111,9,0.059,0.667,7,1,1,"""5-0""",,,
0.138,0.625,0,1.0,0.5,7,3,-1,"""0-1""",,,
0.173,0.688,5,0.043,0.111,3,1,2,"""3-1""",,,
0.499,0.4,3,0.409,0.833,0,2,0,"""2-2""",,,
0.454,0.625,1,1.0,0.1,9,2,0,"""1-1""",,,
0.321,0.571,6,0.165,1.0,6,1,3,"""4-1""",,,
0.612,0.9,7,0.54,0.8,4,2,0,"""1-3""",,,
0.098,0.214,6,0.093,0.2,4,2,0,"""0-0""",,,
0.499,0.7,0,0.093,0.154,0,1,1,"""4-3""",,,
0.156,0.889,0,0.391,0.556,6,1,1,"""2-1""",,,
0.084,0.444,6,0.391,0.556,2,1,1,"""2-1""",,,
0.117,0.8,6,0.402,0.3,6,3,-1,"""1-2""",,,
0.545,0.6,3,0.398,0.222,7,1,1,"""3-2""",,,
0.184,0.15,6,0.208,0.4,6,1,2,"""4-2""",,,
0.807,0.15,7,0.807,0.167,6,1,1,"""4-2""",,,
0.584,0.833,4,0.703,0.107,3,1,2,"""3-1""",,,
0.34,1.0,2,0.766,0.455,4,2,0,"""1-1""",,,
0.416,0.9,4,0.043,0.8,4,2,0,"""0-0""",,,
0.226,0.75,3,0.391,1.0,7,1,1,"""1-0""",,,
0.55,0.722,2,0.093,0.591,3,1,1,"""1-0""",,,
0.26,0.6,6,0.68,0.5,7,3,-1,"""0-1""",,,
0.26,0.625,2,1.0,0.65,3,3,-4,"""0-4""",,,
0.226,0.333,3,0.069,0.85,4,3,1,"""0-1""",,,
0.045,0.571,0,0.807,0.6,6,3,-1,"""0-1""",,,
0.184,0.125,4,0.752,0.167,6,3,-3,"""2-3""",,,
0.49,0.05,7,0.206,0.071,7,1,1,"""3-2""",,,
0.55,0.6,2,0.295,0.95,2,1,1,"""7-0""",,,
0.208,0.4,2,0.211,0.6,4,1,1,"""1-0""",,,
0.237,0.15,3,0.208,0.95,3,1,2,"""4-2""",,,
0.473,0.188,2,0.752,0.45,4,2,0,"""0-0""",,,
0.807,0.444,2,0.208,1.0,6,3,0,"""2-3""",,,
0.409,0.188,6,0.286,0.889,4,2,0,"""0-0""",,,
0.465,1.0,6,1.0,0.5,3,3,-2,"""3-3""",,,
0.462,0.3,2,0.489,0.7,9,1,2,"""2-0""",,,
0.543,0.35,3,1.0,0.222,6,3,0,"""1-3""",,,
0.466,0.85,6,0.97,0.6,2,3,-1,"""0-0""",,,
1.0,0.063,0,0.205,0.15,0,1,1,"""4-1""",,,
0.345,0.25,4,0.882,0.1,0,2,-1,"""0-1""",,,
0.518,0.25,9,0.206,0.45,7,3,1,"""3-2""",,,
0.042,0.944,0,0.786,0.167,6,3,-3,"""0-3""",,,
0.431,0.688,4,0.093,0.15,1,2,0,"""0-0""",,,
0.612,0.375,7,0.97,0.455,3,3,-2,"""1-3""",,,
0.13,0.625,5,0.406,0.154,6,1,2,"""3-1""",,,
0.325,0.7,0,0.474,0.15,2,2,0,"""1-1""",,,
0.098,0.167,6,0.268,0.222,3,2,0,"""0-0""",,,
0.06,0.833,1,0.385,0.333,6,1,2,"""3-1""",,,
